date,word_count
2020-12-01,1
2020-12-02,2
2020-12-03,2
2020-12-04,4
2020-12-05,5
2020-12-06,1
2020-12-07,2
2020-12-08,0
2020-12-09,1
2020-12-10,1
2020-12-11,0
2020-12-12,1
2020-12-13,0
2020-12-14,3
2020-12-15,7
2020-12-16,1
2020-12-17,2
2020-12-18,2
2020-12-19,2
2020-12-20,0
2020-12-23,3
2020-12-24,1
2020-12-25,0
2020-12-26,1
2020-12-27,0
2020-12-28,1
2020-12-29,4
2020-12-30,10
2020-12-31,4
2021-01-01,2
2021-01-02,1
2021-01-03,2
2021-01-04,2
2021-01-05,0
2021-01-06,5
2021-01-07,1
2021-01-08,1
2021-01-09,0
2021-01-10,0
2021-01-11,5
2021-01-12,6
2021-01-13,5
2021-01-14,4
2021-01-15,66
2021-01-16,17
2021-01-17,26
2021-01-18,15
2021-01-19,76
2021-01-20,46
2021-01-21,14
2021-01-22,147
2021-01-23,58
2021-01-24,39
2021-01-25,543
2021-01-26,239
2021-01-27,7898
2021-01-28,14825
2021-01-29,8689
2021-01-30,3986
2021-01-31,3478
2021-02-01,8341
2021-02-02,8922
2021-02-03,3071
2021-02-04,1877
2021-02-08,453
2021-02-09,594
2021-02-10,434
2021-02-11,360
2021-02-12,326
2021-02-13,96
2021-02-14,83
2021-02-15,157
2021-02-16,94
2021-02-17,42
2021-02-18,211
2021-02-19,111
2021-02-20,91
2021-02-21,102
2021-02-22,247
2021-02-23,390
2021-02-24,451
2021-02-25,1175
2021-02-26,787
2021-02-27,268
2021-02-28,54
2021-03-02,174
2021-03-03,334
2021-03-04,294
2021-03-05,71
2021-03-07,9
2021-03-08,143
2021-03-09,383
2021-03-10,679
2021-03-11,375
2021-03-12,231
2021-03-13,125
2021-03-14,165
2021-03-15,415
2021-03-16,287
2021-03-17,136
2021-03-27,20
2021-03-28,41
2021-03-29,70
2021-03-30,66
2021-03-31,61
2021-04-01,92
2021-04-02,46
2021-04-03,44
2021-04-04,40
2021-04-05,63
2021-04-06,31
2021-04-07,65
2021-04-08,66
2021-04-09,50
2021-04-14,30
2021-04-15,95
2021-04-16,85
2021-04-17,38
2021-04-18,32
2021-04-19,56
2021-04-20,47
2021-04-21,52
2021-04-22,74
2021-04-23,39
2021-04-24,31
2021-04-25,32
2021-04-26,76
2021-04-27,76
2021-04-28,79
2021-04-29,40
2021-04-30,39
2021-05-01,24
2021-05-02,10
2021-05-03,34
2021-05-04,43
2021-05-05,57
2021-05-06,99
2021-05-07,50
2021-05-08,37
2021-05-09,23
2021-05-10,53
2021-05-11,77
2021-05-12,71
2021-05-13,185
2021-05-14,138
2021-05-15,42
2021-05-16,27
2021-05-17,88
2021-05-18,165
2021-05-19,101
2021-05-20,52
2021-05-21,43
2021-05-22,49
2021-05-23,30
2021-05-24,50
2021-05-25,103
2021-05-26,335
2021-05-27,705
2021-05-28,973
2021-05-29,282
2021-05-30,194
2021-05-31,168
2021-06-01,331
2021-06-02,1504
2021-06-03,1711
2021-06-04,785
2021-06-05,387
2021-06-06,237
2021-06-07,418
2021-06-08,438
2021-06-09,655
2021-06-10,624
2021-06-11,413
2021-06-12,167
2021-06-13,118
2021-06-14,252
2021-06-15,258
2021-06-16,248
2021-06-17,324
2021-06-18,238
2021-06-19,121
2021-06-20,66
2021-06-21,116
2021-06-22,125
2021-06-23,83
2021-06-24,95
2021-06-25,122
2021-06-26,47
2021-06-27,57
2021-06-28,83
2021-06-29,96
2021-06-30,82
2021-07-01,89
2021-07-02,117
2021-07-03,43
2021-07-04,33
2021-07-05,30
2021-07-06,51
2021-07-07,101
2021-07-08,82
2021-07-09,53
2021-07-10,38
2021-07-11,25
2021-07-12,72
2021-07-13,98
2021-07-14,148
2021-07-15,125
2021-07-16,57
2021-07-17,17
2021-07-18,23
2021-07-19,48
2021-07-20,37
2021-07-21,65
2021-07-22,44
2021-07-23,51
2021-07-24,21
2021-07-25,27
2021-07-26,22
2021-07-27,16
2021-07-28,43
2021-07-29,26
2021-07-30,19
2021-07-31,25
2021-08-01,11
2021-08-02,26
2021-08-03,39
2021-08-04,95
2021-08-05,89
2021-08-06,46
2021-08-07,24
2021-08-08,25
2021-08-09,50
2021-08-10,49
2021-08-11,29
2021-08-12,48
2021-08-13,13
2021-08-14,16
2021-08-15,11
2021-08-16,18
2021-08-17,26
2021-08-18,27
2021-08-19,18
2021-08-20,20
2021-08-21,5
2021-08-22,5
2021-08-23,20
2021-08-24,65
2021-08-25,99
2021-08-26,46
2021-08-27,39
2021-08-28,23
2021-08-29,15
2021-08-30,25
2021-08-31,25
2021-09-01,37
2021-09-02,23
2021-09-03,29
2021-09-04,10
2021-09-05,12
2021-09-06,15
2021-09-07,28
2021-09-08,25
2021-09-09,27
2021-09-10,30
2021-09-11,18
2021-09-12,20
2021-09-13,18
2021-09-14,38
2021-09-15,35
2021-09-16,28
2021-09-17,22
2021-09-18,12
2021-09-19,2
2021-09-20,16
2021-09-21,8
2021-09-22,12
2021-09-23,6
2021-09-24,10
2021-09-25,6
2021-09-26,8
2021-09-27,8
2021-09-28,13
2021-09-29,16
2021-09-30,33
2021-10-01,17
2021-10-02,9
2021-10-03,15
2021-10-04,15
2021-10-05,15
2021-10-06,21
2021-10-07,21
2021-10-08,8
2021-10-09,11
2021-10-10,11
2021-10-11,15
2021-10-12,16
2021-10-13,7
2021-10-14,12
2021-10-15,14
2021-10-16,5
2021-10-17,8
2021-10-18,14
2021-10-19,33
2021-10-20,9
2021-10-21,18
2021-10-22,11
2021-10-23,7
2021-10-24,3
2021-10-25,13
2021-10-26,18
2021-10-27,9
2021-10-28,15
2021-10-29,18
2021-10-30,13
2021-10-31,3
2021-11-01,27
2021-11-02,18
2021-11-03,20
2021-11-04,16
2021-11-05,15
2021-11-06,5
2021-11-07,11
2021-11-08,15
2021-11-09,13
2021-11-10,22
2021-11-11,13
2021-11-12,8
2021-11-13,15
2021-11-14,7
2021-11-15,12
2021-11-16,14
2021-11-17,18
2021-11-18,16
2021-11-19,9
2021-11-20,5
2021-11-21,7
2021-11-22,8
2021-11-23,10
2021-11-24,22
2021-11-25,8
2021-11-26,2
2021-11-27,1
2021-11-28,9
2021-11-29,12
2021-11-30,16
2021-12-01,23
2021-12-02,24
2021-12-03,23
2021-12-04,7
2021-12-05,9
2021-12-06,11
2021-12-07,13
2021-12-08,6
2021-12-09,9
2021-12-10,26
2021-12-11,9
2021-12-12,8
2021-12-13,10
2021-12-14,28
2021-12-15,10
2021-12-16,11
2021-12-17,19
2021-12-18,22
2021-12-19,12
2021-12-20,13
2021-12-21,3
2021-12-22,15
2021-12-23,7
2021-12-24,3
2021-12-25,2
2021-12-26,6
2021-12-27,5
2021-12-28,7
2021-12-29,12
2021-12-30,17
2021-12-31,8
2022-01-01,14
2022-01-02,7
2022-01-03,2
2022-01-04,14
2022-01-05,9
2022-01-06,14
2022-01-07,17
2022-01-08,8
2022-01-09,13
2022-01-10,25
2022-01-11,12
2022-01-12,13
2022-01-13,17
2022-01-14,21
2022-01-15,8
2022-01-16,11
2022-01-17,8
2022-01-18,36
2022-01-19,20
2022-01-20,16
2022-01-21,26
2022-01-22,7
2022-01-23,5
2022-01-24,13
2022-01-25,13
2022-01-26,21
2022-01-27,3
2022-01-28,20
2022-01-29,12
2022-01-30,4
2022-01-31,5
2022-02-01,9
2022-02-02,9
2022-02-03,2
2022-02-04,4
2022-02-05,4
2022-02-06,4
2022-02-07,5
2022-02-08,11
2022-02-09,12
2022-02-10,13
2022-02-11,10
2022-02-12,4
2022-02-13,14
2022-02-14,13
2022-02-15,3
2022-02-16,6
2022-02-17,10
2022-02-18,7
2022-02-19,4
2022-02-20,3
2022-02-21,3
2022-02-22,3
2022-02-23,5
2022-02-24,3
2022-02-25,1
2022-02-26,3
2022-02-27,1
2022-02-28,3
2022-03-01,4
2022-03-02,17
2022-03-03,2
2022-03-04,5
2022-03-05,6
2022-03-06,5
2022-03-07,4
2022-03-08,2
2022-03-09,0
2022-03-10,5
2022-03-11,5
2022-03-12,5
2022-03-13,0
2022-03-14,1
2022-03-15,29
2022-03-16,8
2022-03-17,6
2022-03-18,5
2022-03-19,11
2022-03-20,5
2022-03-21,8
2022-03-22,11
2022-03-23,29
2022-03-24,14
2022-03-25,10
2022-03-26,2
2022-03-27,5
2022-03-28,41
2022-03-29,62
2022-03-30,18
2022-03-31,22
2022-04-01,13
2022-04-02,1
2022-04-03,6
2022-04-04,7
2022-04-05,7
2022-04-06,9
2022-04-07,8
2022-04-08,8
2022-04-09,6
2022-04-10,1
2022-04-11,4
2022-04-12,5
2022-04-13,6
2022-04-14,5
2022-04-15,7
2022-04-16,4
2022-04-17,1
2022-04-18,2
2022-04-19,5
2022-04-20,6
2022-04-21,0
2022-04-22,1
2022-04-23,2
2022-04-24,1
2022-04-25,4
2022-04-26,3
2022-04-27,1
2022-04-28,1
2022-04-29,2
2022-04-30,2
2022-05-01,2
2022-05-02,6
2022-05-03,3
2022-05-04,4
2022-05-05,4
2022-05-06,3
2022-05-07,8
2022-05-08,3
2022-05-09,12
2022-05-10,12
2022-05-11,18
2022-05-12,12
2022-05-13,9
2022-05-14,5
2022-05-15,5
2022-05-16,11
2022-05-17,9
2022-05-18,10
2022-05-19,8
2022-05-20,7
2022-05-21,21
2022-05-22,1
2022-05-23,7
2022-05-24,5
2022-05-25,10
2022-05-26,8
2022-05-27,13
2022-05-28,6
2022-05-29,2
2022-05-30,7
2022-05-31,9
2022-06-01,5
2022-06-02,5
2022-06-03,7
2022-06-04,6
2022-06-05,2
2022-06-06,8
2022-06-07,5
2022-06-08,9
2022-06-09,5
2022-06-10,4
2022-06-11,1
2022-06-12,1
2022-06-13,6
2022-06-14,3
2022-06-15,0
2022-06-16,7
2022-06-17,1
2022-06-18,2
2022-06-19,1
2022-06-20,2
2022-06-21,2
2022-06-22,9
2022-06-23,17
2022-06-24,9
2022-06-25,4
2022-06-26,4
2022-06-27,13
2022-06-28,24
2022-06-29,3
2022-06-30,3
2022-07-01,7
2022-07-02,1
2022-07-03,3
2022-07-04,2
2022-07-05,0
2022-07-06,4
2022-07-07,5
2022-07-08,9
2022-07-09,5
2022-07-10,2
2022-07-11,5
2022-07-12,1
2022-07-13,4
2022-07-14,2
2022-07-15,6
2022-07-16,3
2022-07-17,5
2022-07-18,6
2022-07-19,4
2022-07-20,2
2022-07-21,7
2022-07-22,6
2022-07-23,1
2022-07-24,1
2022-07-25,2
2022-07-26,0
2022-07-27,1
2022-07-28,4
2022-07-29,2
2022-07-30,10
2022-07-31,0
2022-08-01,1
2022-08-02,0
2022-08-03,14
2022-08-04,16
2022-08-05,60
2022-08-06,32
2022-08-07,23
2022-08-08,45
2022-08-09,34
2022-08-10,20
2022-08-11,29
2022-08-12,28
2022-08-13,12
2022-08-14,16
2022-08-15,28
2022-08-16,23
2022-08-17,33
2022-08-18,32
2022-08-19,68
2022-08-20,13
2022-08-21,23
2022-08-22,108
2022-08-23,49
2022-08-24,11
2022-08-25,12
2022-08-26,7
2022-08-27,1
2022-08-28,3
2022-08-29,16
2022-08-30,14
2022-08-31,18
2022-09-01,27
2022-09-02,17
2022-09-03,3
2022-09-04,2
2022-09-05,8
2022-09-06,7
2022-09-07,6
2022-09-08,3
2022-09-09,3
2022-09-10,2
2022-09-11,2
2022-09-12,15
2022-09-13,1
2022-09-14,3
2022-09-15,12
2022-09-16,4
2022-09-17,5
2022-09-18,3
2022-09-19,2
2022-09-20,1
2022-09-21,2
2022-09-22,12
2022-09-23,2
2022-09-24,7
2022-09-25,5
2022-09-26,12
2022-09-27,13
2022-09-28,6
2022-09-29,9
2022-09-30,5
2022-10-01,5
2022-10-02,3
2022-10-03,22
2022-10-04,13
2022-10-05,1
2022-10-06,5
2022-10-07,7
2022-10-08,3
2022-10-09,1
2022-10-10,1
2022-10-11,4
2022-10-12,13
2022-10-13,11
2022-10-14,4
2022-10-15,2
2022-10-16,3
2022-10-17,5
2022-10-18,0
2022-10-19,2
2022-10-20,2
